planner_name,case_id,case_name,purpose,tier,enable_move_rotate,success,planning_time_sec,num_robots,makespan,sum_of_costs,total_wait,total_move,total_rotate,total_move_rotate,notes,R0_cost,R0_num_states,R0_num_transitions,R0_wait,R0_move,R0_rotate,R0_move_rotate,R1_cost,R1_num_states,R1_num_transitions,R1_wait,R1_move,R1_rotate,R1_move_rotate,R2_cost,R2_num_states,R2_num_transitions,R2_wait,R2_move,R2_rotate,R2_move_rotate
OrientationLaCAMV5_1,case_01,Case 01: rotation only,回転単体確認,Tier 1: primitive sanity,False,True,0.006651800009422004,1,2.3,2.3,0,0,2,0,"solved | orientation_lacam_v5_1_single_agent_fast_path | diag:low_level_calls=0,low_level_queue_expansions=0,partial_constraint_expansions=0,pibt_calls=0,pibt_displacements=0,pibt_failures=0,successful_priority_orders=0,first_blocking_conflict_type=none",2.3,3,2,0,0,2,0,,,,,,,,,,,,,,
OrientationLaCAMV5_1,case_01,Case 01: rotation only,回転単体確認,Tier 1: primitive sanity,True,True,0.03478079999331385,1,2.3,2.3,0,0,2,0,"solved | orientation_lacam_v5_1_single_agent_fast_path | diag:low_level_calls=0,low_level_queue_expansions=0,partial_constraint_expansions=0,pibt_calls=0,pibt_displacements=0,pibt_failures=0,successful_priority_orders=0,first_blocking_conflict_type=none",2.3,3,2,0,0,2,0,,,,,,,,,,,,,,
OrientationLaCAMV5_1,case_02,Case 02: move+rotate,move+rotate 単体効果,Tier 1: primitive sanity,False,True,0.0062413999694399536,1,3.15,3.15,0,2,1,0,"solved | orientation_lacam_v5_1_single_agent_fast_path | diag:low_level_calls=0,low_level_queue_expansions=0,partial_constraint_expansions=0,pibt_calls=0,pibt_displacements=0,pibt_failures=0,successful_priority_orders=0,first_blocking_conflict_type=none",3.15,4,3,0,2,1,0,,,,,,,,,,,,,,
OrientationLaCAMV5_1,case_02,Case 02: move+rotate,move+rotate 単体効果,Tier 1: primitive sanity,True,True,0.050808100029826164,1,2.05,2.05,0,1,0,1,"solved | orientation_lacam_v5_1_single_agent_fast_path | diag:low_level_calls=0,low_level_queue_expansions=0,partial_constraint_expansions=0,pibt_calls=0,pibt_displacements=0,pibt_failures=0,successful_priority_orders=0,first_blocking_conflict_type=none",2.05,3,2,0,1,0,1,,,,,,,,,,,,,,
OrientationLaCAMV5_1,case_03,Case 03: two robot corridor,単純な2台対向協調,Tier 2: simple coordination,False,True,0.00959199998760596,2,6.0,12.0,2,10,0,0,"solved | orientation_lacam_v5_1 | diag:low_level_calls=6,low_level_queue_expansions=18,partial_constraint_expansions=6,pibt_calls=27,pibt_displacements=0,pibt_failures=2,successful_priority_orders=12,first_blocking_conflict_type=state_overlap",6.0,7,6,2,4,0,0,6.0,7,6,0,6,0,0,,,,,,,
OrientationLaCAMV5_1,case_03,Case 03: two robot corridor,単純な2台対向協調,Tier 2: simple coordination,True,True,0.052190500020515174,2,6.1,12.2,2,6,0,4,"solved | orientation_lacam_v5_1 | diag:low_level_calls=11,low_level_queue_expansions=82,partial_constraint_expansions=60,pibt_calls=66,pibt_displacements=4,pibt_failures=20,successful_priority_orders=20,first_blocking_conflict_type=state_overlap",6.1,7,6,2,2,0,2,6.1,7,6,0,4,0,2,,,,,,,
OrientationLaCAMV5_1,case_04,Case 04: two robot with obstacle wall,障害物あり協調,Tier 3: obstacle helpful,False,False,0.010522000025957823,2,,,,,,,"search_failed | open list exhausted | diag:low_level_calls=8,low_level_queue_expansions=16,partial_constraint_expansions=0,pibt_calls=32,pibt_displacements=0,pibt_failures=0,successful_priority_orders=16,first_blocking_conflict_type=none",,,,,,,,,,,,,,,,,,,,,
OrientationLaCAMV5_1,case_04,Case 04: two robot with obstacle wall,障害物あり協調,Tier 3: obstacle helpful,True,True,0.04576930002076551,2,9.25,18.4,1,11,1,5,"solved | orientation_lacam_v5_1 | diag:low_level_calls=9,low_level_queue_expansions=18,partial_constraint_expansions=0,pibt_calls=36,pibt_displacements=0,pibt_failures=0,successful_priority_orders=18,first_blocking_conflict_type=none",9.15,10,9,1,5,0,3,9.25,10,9,0,6,1,2,,,,,,,
OrientationLaCAMV5_1,case_a,Case A: move+rotate helpful,move+rotate 有効例,Tier 3: obstacle helpful,False,True,0.008609800017438829,1,7.15,7.15,0,6,1,0,"solved | orientation_lacam_v5_1_single_agent_fast_path | diag:low_level_calls=0,low_level_queue_expansions=0,partial_constraint_expansions=0,pibt_calls=0,pibt_displacements=0,pibt_failures=0,successful_priority_orders=0,first_blocking_conflict_type=none",7.15,8,7,0,6,1,0,,,,,,,,,,,,,,
OrientationLaCAMV5_1,case_a,Case A: move+rotate helpful,move+rotate 有効例,Tier 3: obstacle helpful,True,True,0.037976000050548464,1,6.05,6.05,0,5,0,1,"solved | orientation_lacam_v5_1_single_agent_fast_path | diag:low_level_calls=0,low_level_queue_expansions=0,partial_constraint_expansions=0,pibt_calls=0,pibt_displacements=0,pibt_failures=0,successful_priority_orders=0,first_blocking_conflict_type=none",6.05,7,6,0,5,0,1,,,,,,,,,,,,,,
OrientationLaCAMV5_1,case_b,Case B: move+rotate likely unhelpful,move+rotate 不要例,Tier 2: simple coordination,False,True,0.009130600024946034,2,6.0,12.0,0,12,0,0,"solved | orientation_lacam_v5_1 | diag:low_level_calls=6,low_level_queue_expansions=12,partial_constraint_expansions=0,pibt_calls=24,pibt_displacements=0,pibt_failures=0,successful_priority_orders=12,first_blocking_conflict_type=none",6.0,7,6,0,6,0,0,6.0,7,6,0,6,0,0,,,,,,,
OrientationLaCAMV5_1,case_b,Case B: move+rotate likely unhelpful,move+rotate 不要例,Tier 2: simple coordination,True,True,0.04228639998473227,2,6.0,12.0,0,12,0,0,"solved | orientation_lacam_v5_1 | diag:low_level_calls=6,low_level_queue_expansions=12,partial_constraint_expansions=0,pibt_calls=24,pibt_displacements=0,pibt_failures=0,successful_priority_orders=12,first_blocking_conflict_type=none",6.0,7,6,0,6,0,0,6.0,7,6,0,6,0,0,,,,,,,
OrientationLaCAMV5_1,case_c,Case C: coordination sensitive,干渉が強い協調ケース,Tier 4: hard coordination,False,False,0.014927100040949881,2,,,,,,,"search_failed | open list exhausted | diag:low_level_calls=13,low_level_queue_expansions=68,partial_constraint_expansions=42,pibt_calls=70,pibt_displacements=0,pibt_failures=14,successful_priority_orders=26,first_blocking_conflict_type=state_overlap",,,,,,,,,,,,,,,,,,,,,
OrientationLaCAMV5_1,case_c,Case C: coordination sensitive,干渉が強い協調ケース,Tier 4: hard coordination,True,True,0.058007099956739694,2,11.299999999999999,22.299999999999997,7,11,1,3,"solved | orientation_lacam_v5_1 | diag:low_level_calls=19,low_level_queue_expansions=68,partial_constraint_expansions=30,pibt_calls=90,pibt_displacements=2,pibt_failures=10,successful_priority_orders=37,first_blocking_conflict_type=state_overlap",11.0,12,11,7,4,0,0,11.299999999999999,12,11,0,7,1,3,,,,,,,
OrientationLaCAMV5_1,case_d,Case D: 3-agent single bottleneck,3台が単一ボトルネックを共有し、通過順序で品質差が出るケース,Tier 4: hard coordination,False,True,0.09212960000149906,3,18.0,54.0,16,38,0,0,"solved | orientation_lacam_v5_1 | diag:low_level_calls=65,low_level_queue_expansions=678,partial_constraint_expansions=561,pibt_calls=685,pibt_displacements=11,pibt_failures=131,successful_priority_orders=152,first_blocking_conflict_type=transition_overlap",18.0,19,18,12,6,0,0,18.0,19,18,4,14,0,0,18.0,19,18,0,18,0,0
OrientationLaCAMV5_1,case_d,Case D: 3-agent single bottleneck,3台が単一ボトルネックを共有し、通過順序で品質差が出るケース,Tier 4: hard coordination,True,True,0.3338315000291914,3,17.8,52.599999999999994,14,19,7,11,"solved | orientation_lacam_v5_1 | diag:low_level_calls=115,low_level_queue_expansions=2862,partial_constraint_expansions=2595,pibt_calls=1771,pibt_displacements=53,pibt_failures=507,successful_priority_orders=312,first_blocking_conflict_type=transition_overlap",17.0,18,17,11,6,0,0,17.8,18,17,0,7,3,7,17.8,18,17,3,6,4,4
OrientationLaCAMV5_1,case_e,Case E: 4-agent cross intersection,4方向から中央へ同時進入する十字交差ケース,Tier 4: hard coordination,False,False,0.11424030002672225,4,,,,,,,"search_failed | open list exhausted | diag:low_level_calls=34,low_level_queue_expansions=907,partial_constraint_expansions=1215,pibt_calls=769,pibt_displacements=14,pibt_failures=217,successful_priority_orders=83,first_blocking_conflict_type=state_overlap",,,,,,,,,,,,,,,,,,,,,
OrientationLaCAMV5_1,case_e,Case E: 4-agent cross intersection,4方向から中央へ同時進入する十字交差ケース,Tier 4: hard coordination,True,False,21.766887700010557,4,,,,,,,"max_high_level_expansions_exceeded | Exceeded max_high_level_expansions=30000 | diag:low_level_calls=30000,low_level_queue_expansions=41343,partial_constraint_expansions=74166,pibt_calls=8502,pibt_displacements=296,pibt_failures=4657,successful_priority_orders=6,first_blocking_conflict_type=state_overlap",,,,,,,,,,,,,,,,,,,,,
OrientationLaCAMV5_1,case_f,Case F: pocket evacuation,退避ポケットを使うか待機するかで差が出るケース,Tier 4: hard coordination,False,True,0.027093199954833835,3,12.0,36.0,13,23,0,0,"solved | orientation_lacam_v5_1 | diag:low_level_calls=19,low_level_queue_expansions=103,partial_constraint_expansions=60,pibt_calls=150,pibt_displacements=1,pibt_failures=10,successful_priority_orders=43,first_blocking_conflict_type=transition_overlap",12.0,13,12,6,6,0,0,12.0,13,12,0,12,0,0,12.0,13,12,7,5,0,0
OrientationLaCAMV5_1,case_f,Case F: pocket evacuation,退避ポケットを使うか待機するかで差が出るケース,Tier 4: hard coordination,True,False,12.628398100030608,3,,,,,,,"max_high_level_expansions_exceeded | Exceeded max_high_level_expansions=30000 | diag:low_level_calls=30000,low_level_queue_expansions=2190,partial_constraint_expansions=2115,pibt_calls=718,pibt_displacements=6,pibt_failures=458,successful_priority_orders=18,first_blocking_conflict_type=transition_overlap",,,,,,,,,,,,,,,,,,,,,
OrientationLaCAMV5_1,case_g,Case G: double bottleneck,2つの狭窄部をまたぐため局所最適に落ちやすいケース,Tier 4: hard coordination,False,False,8.851096200000029,4,,,,,,,"max_high_level_expansions_exceeded | Exceeded max_high_level_expansions=30000 | diag:low_level_calls=29961,low_level_queue_expansions=13913,partial_constraint_expansions=18273,pibt_calls=9164,pibt_displacements=428,pibt_failures=3105,successful_priority_orders=676,first_blocking_conflict_type=state_overlap",,,,,,,,,,,,,,,,,,,,,
OrientationLaCAMV5_1,case_g,Case G: double bottleneck,2つの狭窄部をまたぐため局所最適に落ちやすいケース,Tier 4: hard coordination,True,False,17.604972000001,4,,,,,,,"max_high_level_expansions_exceeded | Exceeded max_high_level_expansions=30000 | diag:low_level_calls=29999,low_level_queue_expansions=28168,partial_constraint_expansions=48893,pibt_calls=8950,pibt_displacements=431,pibt_failures=5158,successful_priority_orders=152,first_blocking_conflict_type=transition_overlap",,,,,,,,,,,,,,,,,,,,,
OrientationLaCAMV5_1,case_h,Case H: asymmetric orientation-critical,姿勢変更が本質的に効く非対称な強干渉ケース,Tier 4: hard coordination,False,False,7.209457000019029,3,,,,,,,"max_high_level_expansions_exceeded | Exceeded max_high_level_expansions=30000 | diag:low_level_calls=29942,low_level_queue_expansions=9737,partial_constraint_expansions=9366,pibt_calls=5143,pibt_displacements=93,pibt_failures=1928,successful_priority_orders=712,first_blocking_conflict_type=transition_overlap",,,,,,,,,,,,,,,,,,,,,
OrientationLaCAMV5_1,case_h,Case H: asymmetric orientation-critical,姿勢変更が本質的に効く非対称な強干渉ケース,Tier 4: hard coordination,True,False,13.305935100011993,3,,,,,,,"max_high_level_expansions_exceeded | Exceeded max_high_level_expansions=30000 | diag:low_level_calls=30000,low_level_queue_expansions=12082,partial_constraint_expansions=11748,pibt_calls=3694,pibt_displacements=121,pibt_failures=2302,successful_priority_orders=61,first_blocking_conflict_type=state_overlap",,,,,,,,,,,,,,,,,,,,,
